,question,keywords,stopwords_lemma,stopwords,functional,functional_lemma,pairsAN,pairsNA,quotations,capitalLetters
0,Jak nazywa się bohaterka gier komputerowych z serii Tomb Raider?,"(Tomb Raider,)",nazywać bohaterka gra komputerowy seria Tomb Raider,nazywa bohaterka gier komputerowych serii Tomb Raider,Jak nazywa bohaterka gier komputerowych serii Tomb Raider,jak nazywać bohaterka gra komputerowy seria Tomb Raider,[],['gier komputerowych'],[],[]
1,Paź królowej to gatunek których owadów?,(),Paź królowa gatunek owad,Paź królowej gatunek owadów,królowej gatunek owadów,królowa gatunek owad,[],[],[],[]
2,Czy w przypadku skrócenia kadencji Sejmu ulega skróceniu kadencja Senatu?,"(Sejmu, Senatu)",przypadek skrócić kadencja sejm ulegać skrócić kadencja senat,przypadku skrócenia kadencji Sejmu ulega skróceniu kadencja Senatu,przypadku skrócenia kadencji Sejmu ulega skróceniu kadencja Senatu,przypadek skrócić kadencja sejm ulegać skrócić kadencja senat,[],[],[],['Sejmu']
3,Co zabiera Wenus więcej czasu: obieg dookoła Słońca czy obrót dookoła osi?,"(Wenus, Słońca)",zabierać Wenus czas obieg dookoła Słońce obrót dookoła oś,zabiera Wenus czasu obieg dookoła Słońca obrót dookoła osi,zabiera Wenus czasu obieg Słońca obrót osi,zabierać Wenus czas obieg Słońce obrót oś,[],[],[],"['Wenus', 'Wenus Słońca']"
4,"Proszę dokończyć powiedzenie: „piłka jest okrągła, a bramki są…”",(),prosić dokończyć powiedzenie piłka okrągły bramka,Proszę dokończyć powiedzenie piłka okrągła bramki,Proszę dokończyć powiedzenie piłka okrągła bramki,prosić dokończyć powiedzenie piłka okrągły bramka,[],[],[],[]
5,Ile pełnych tygodni ma rok kalendarzowy?,(),pełny tydzień rok kalendarzowy,pełnych tygodni rok kalendarzowy,pełnych tygodni ma rok kalendarzowy,pełny tydzień mieć rok kalendarzowy,['pełnych tygodni'],['rok kalendarzowy'],[],[]
6,"Jaki przydomek nosił Ludwik I, król Franków i syn Karola Wielkiego?","(Ludwik I, Franków, Karola Wielkiego)",przydomek nosić Ludwik król Franek syn Karol wielki,przydomek nosił Ludwik król Franków syn Karola Wielkiego,przydomek nosił Ludwik król Franków syn Karola Wielkiego,przydomek nosić Ludwik król Franek syn Karol wielki,[],[],[],"['Ludwik I,', 'Ludwik I, Franków']"
7,Proszę rozwinąć skrót CIA.,"(CIA,)",prosić rozwinąć skrót CIA,Proszę rozwinąć skrót CIA,Proszę rozwinąć skrót CIA,prosić rozwinąć skrót CIA,[],[],[],[]
8,"Tę samą nazwę noszą pocisk miotany ręką, kamień półszlachetny i owoc południowy. Jaką?",(),ten sam nazwa nosić pocisk miotać ręka kamień półszlachetny owoc południowy jaki,Tę samą nazwę noszą pocisk miotany ręką kamień półszlachetny owoc południowy Jaką,samą nazwę noszą pocisk miotany ręką kamień półszlachetny owoc południowy,sam nazwa nosić pocisk miotać ręka kamień półszlachetny owoc południowy,"['samą nazwę', 'miotany ręką']","['pocisk miotany', 'kamień półszlachetny', 'owoc południowy']",[],[]
9,Ten urodzony w XIX w. Nantes francuski pisarz uchodzi za prekursora literatury fantastycznonaukowej. O kogo chodzi?,"(XIX w., francuski)",urodzić XIX Nantes francuski pisarz uchodzić prekursor literatura fantastycznonaukowy kto chodzić,urodzony XIX Nantes francuski pisarz uchodzi prekursora literatury fantastycznonaukowej kogo chodzi,urodzony XIX Nantes francuski pisarz uchodzi prekursora literatury fantastycznonaukowej chodzi,urodzić XIX Nantes francuski pisarz uchodzić prekursor literatura fantastycznonaukowy chodzić,['francuski pisarz'],['literatury fantastycznonaukowej'],[],['XIX']
